time,Humedad,Luminosidad,Temperatura Predicha
2025-05-23T13:17:37.438238Z,87.0,268.0,27.18
2025-05-23T13:17:39.426352Z,64.0,319.0,28.06
2025-05-23T13:17:41.608360Z,69.0,189.0,27.14
2025-05-23T13:17:43.427167Z,71.0,303.0,21.55
2025-05-23T13:17:45.444580Z,81.0,233.0,23.87
2025-05-23T13:17:47.449952Z,65.0,175.0,23.8
2025-05-23T13:17:49.457007Z,65.0,318.0,24.39
2025-05-23T13:17:51.596429Z,72.0,151.0,29.3
2025-05-23T13:17:53.448520Z,73.0,321.0,26.33
2025-05-23T13:17:55.686215Z,69.0,355.0,20.67
2025-05-23T13:17:57.441086Z,86.0,235.0,28.18
2025-05-23T13:17:59.437009Z,82.0,339.0,22.84
2025-05-23T13:18:01.446969Z,71.0,130.0,26.7
2025-05-23T13:18:03.681077Z,85.0,204.0,29.68
2025-05-23T13:18:05.446936Z,74.0,209.0,24.02
2025-05-23T13:18:07.449538Z,62.0,373.0,27.38
2025-05-23T13:18:09.458382Z,60.0,106.0,24.14
2025-05-23T13:18:11.448288Z,68.0,235.0,24.45
2025-05-23T13:18:13.448285Z,60.0,221.0,28.09
2025-05-23T13:18:15.523535Z,62.0,190.0,20.74
2025-05-23T13:18:17.452217Z,69.0,285.0,26.55
2025-05-23T13:18:19.452263Z,68.0,335.0,26.79
2025-05-23T13:18:21.472430Z,69.0,366.0,27.85
2025-05-23T13:18:23.450221Z,74.0,335.0,27.99
2025-05-23T13:18:25.487106Z,75.0,356.0,23.77
2025-05-23T13:18:27.748903Z,82.0,208.0,29.19
2025-05-23T13:18:29.452199Z,83.0,121.0,25.79
2025-05-23T13:18:31.452474Z,75.0,337.0,28.07
2025-05-23T13:18:33.717085Z,70.0,241.0,25.88
2025-05-23T13:18:35.728074Z,83.0,367.0,26.12
2025-05-23T13:18:37.601730Z,75.0,319.0,26.62
2025-05-23T13:18:39.517137Z,72.0,371.0,23.42
2025-05-23T13:18:41.466856Z,61.0,108.0,26.57
2025-05-23T13:18:43.504910Z,77.0,242.0,25.36
2025-05-23T13:18:45.460518Z,88.0,306.0,24.52
2025-05-23T13:18:47.472270Z,80.0,384.0,26.9
2025-05-23T13:18:49.472087Z,86.0,119.0,20.22
2025-05-23T13:18:51.473326Z,84.0,196.0,29.05
2025-05-23T13:18:53.467156Z,83.0,236.0,27.1
2025-05-23T13:18:55.471156Z,68.0,131.0,24.69
2025-05-23T13:18:57.496222Z,70.0,303.0,20.49
2025-05-23T13:18:59.743981Z,77.0,329.0,26.03
2025-05-23T13:19:01.482361Z,87.0,197.0,23.2
2025-05-23T13:19:03.493967Z,68.0,125.0,22.36
2025-05-23T13:19:05.478181Z,89.0,217.0,22.6
2025-05-23T13:19:07.493067Z,87.0,183.0,23.62
2025-05-23T13:19:09.530786Z,61.0,366.0,24.12
2025-05-23T13:19:11.525116Z,75.0,108.0,20.29
2025-05-23T13:19:13.923842Z,61.0,145.0,25.22
2025-05-23T13:19:15.486855Z,64.0,334.0,24.26
2025-05-23T13:19:17.631227Z,75.0,217.0,24.44
2025-05-23T13:19:20.207280Z,61.0,185.0,30.5
2025-05-23T13:19:21.468401Z,73.0,256.0,25.95
2025-05-23T13:19:23.571668Z,80.0,226.0,26.41
2025-05-23T13:19:25.688645Z,69.0,293.0,25.98
2025-05-23T13:19:27.478102Z,87.0,258.0,28.69
2025-05-23T13:19:29.558212Z,70.0,114.0,28.14
2025-05-23T13:19:31.482643Z,89.0,277.0,22.07
2025-05-23T13:19:33.498053Z,85.0,159.0,25.25
2025-05-23T13:19:36.211422Z,64.0,267.0,20.97
2025-05-23T13:19:37.495102Z,61.0,350.0,19.71
2025-05-23T13:19:39.552145Z,68.0,135.0,21.48
2025-05-23T13:19:41.607225Z,65.0,230.0,22.53
2025-05-23T13:19:43.494775Z,79.0,148.0,21.62
2025-05-23T13:19:45.482816Z,72.0,152.0,21.8
2025-05-23T13:19:47.539024Z,68.0,260.0,20.91
2025-05-23T13:19:49.487924Z,72.0,227.0,29.71
2025-05-23T13:19:51.506521Z,74.0,368.0,28.25
2025-05-23T13:19:53.517107Z,89.0,247.0,23.01
2025-05-23T13:19:55.519035Z,86.0,350.0,17.58
2025-05-23T13:19:57.672180Z,86.0,119.0,20.22
2025-05-23T13:19:59.516901Z,77.0,393.0,30.78
2025-05-23T13:20:01.493696Z,72.0,106.0,22.17
2025-05-23T13:20:03.517430Z,63.0,383.0,25.13
2025-05-23T13:20:05.513950Z,81.0,208.0,28.62
2025-05-23T13:20:07.613283Z,60.0,295.0,23.2
2025-05-23T13:20:09.506296Z,68.0,211.0,18.11
2025-05-23T13:20:11.524170Z,71.0,209.0,20.29
2025-05-23T13:20:13.521308Z,85.0,392.0,24.73
2025-05-23T13:20:16.082483Z,86.0,151.0,21.37
2025-05-23T13:20:17.729887Z,70.0,337.0,24.37
2025-05-23T13:20:19.517099Z,76.0,367.0,27.88
2025-05-23T13:20:21.691891Z,79.0,376.0,25.06
2025-05-23T13:20:23.530775Z,83.0,279.0,23.53
2025-05-23T13:20:25.513396Z,83.0,376.0,21.21
2025-05-23T13:20:27.625588Z,62.0,215.0,26.88
2025-05-23T13:20:29.704798Z,60.0,124.0,28.95
2025-05-23T13:20:33.144134Z,74.0,248.0,19.8
2025-05-23T13:20:33.515806Z,79.0,227.0,24.75
2025-05-23T13:20:35.532093Z,62.0,336.0,28.37
2025-05-23T13:20:38.302455Z,83.0,377.0,22.47
2025-05-23T13:20:39.648668Z,73.0,340.0,25.71
2025-05-23T13:20:41.556880Z,89.0,221.0,26.12
2025-05-23T13:20:43.644014Z,82.0,338.0,27.04
2025-05-23T13:20:45.671772Z,82.0,354.0,21.73
2025-05-23T13:20:47.528320Z,74.0,392.0,23.82
2025-05-23T13:20:49.634122Z,60.0,324.0,17.41
2025-05-23T13:20:51.591879Z,62.0,259.0,21.64
2025-05-23T13:20:53.578024Z,68.0,223.0,24.63
2025-05-23T13:20:55.641067Z,70.0,171.0,24.9
2025-05-23T13:20:57.577005Z,62.0,166.0,24.45
2025-05-23T13:20:59.556739Z,62.0,172.0,20.51
2025-05-23T13:21:01.658853Z,86.0,327.0,18.17
2025-05-23T13:21:03.631573Z,61.0,351.0,24.65
2025-05-23T13:21:05.558040Z,67.0,159.0,24.72
2025-05-23T13:21:07.617199Z,74.0,309.0,28.81
2025-05-23T13:21:09.538309Z,83.0,341.0,23.72
2025-05-23T13:21:11.550816Z,70.0,366.0,26.78
2025-05-23T13:21:13.615231Z,72.0,303.0,22.21
2025-05-23T13:21:15.716297Z,68.0,165.0,23.43
2025-05-23T13:21:17.586815Z,65.0,141.0,25.33
2025-05-23T13:21:19.699086Z,61.0,140.0,23.67
2025-05-23T13:21:21.634034Z,81.0,366.0,17.31
2025-05-23T13:21:23.669155Z,86.0,309.0,21.0
2025-05-23T13:21:25.670030Z,69.0,127.0,20.86
2025-05-23T13:21:27.625199Z,78.0,375.0,29.08
2025-05-23T13:21:29.720927Z,85.0,180.0,27.12
2025-05-23T13:21:31.578158Z,76.0,241.0,19.5
2025-05-23T13:21:33.586051Z,75.0,353.0,22.69
2025-05-23T13:21:35.570646Z,64.0,121.0,28.46
2025-05-23T13:21:37.863390Z,87.0,195.0,24.67
2025-05-23T13:21:39.625755Z,77.0,398.0,30.63
2025-05-23T13:21:41.552091Z,78.0,283.0,31.76
2025-05-23T13:21:43.611594Z,84.0,235.0,31.22
2025-05-23T13:21:45.558007Z,82.0,319.0,21.81
2025-05-23T13:21:47.608412Z,88.0,351.0,21.7
2025-05-23T13:21:49.555096Z,86.0,268.0,22.38
2025-05-23T13:21:51.645925Z,84.0,167.0,18.43
2025-05-23T13:21:53.588070Z,89.0,180.0,19.51
2025-05-23T13:21:55.643164Z,63.0,311.0,22.57
2025-05-23T13:21:57.596143Z,76.0,188.0,25.64
2025-05-23T13:21:59.582749Z,67.0,154.0,26.02
2025-05-23T13:22:01.613161Z,72.0,298.0,26.31
2025-05-23T13:22:03.638586Z,71.0,122.0,23.17
2025-05-23T13:22:05.670529Z,78.0,125.0,25.15
2025-05-23T13:22:07.566036Z,80.0,148.0,23.61
2025-05-23T13:22:09.653130Z,81.0,203.0,25.25
2025-05-23T13:22:11.626126Z,80.0,241.0,25.8
2025-05-23T13:22:13.749051Z,65.0,137.0,29.57
2025-05-23T13:22:15.643948Z,74.0,266.0,28.23
2025-05-23T13:22:18.238475Z,68.0,114.0,21.66
2025-05-23T13:22:19.594868Z,74.0,295.0,28.05
2025-05-23T13:22:22.299861Z,70.0,351.0,27.34
2025-05-23T13:22:23.619187Z,76.0,332.0,24.45
2025-05-23T13:22:26.198059Z,65.0,186.0,27.27
2025-05-23T13:22:27.752963Z,66.0,273.0,24.91
2025-05-23T13:22:29.588765Z,74.0,292.0,22.03
2025-05-23T13:22:31.799176Z,87.0,342.0,30.65
2025-05-23T13:22:33.598776Z,89.0,396.0,20.13
2025-05-23T13:22:36.190553Z,72.0,309.0,24.78
2025-05-23T13:22:39.664983Z,86.0,217.0,26.16
2025-05-23T13:22:39.681916Z,71.0,187.0,25.79
2025-05-23T13:22:41.626239Z,82.0,218.0,25.03
2025-05-23T13:22:44.175174Z,71.0,301.0,21.69
2025-05-23T13:22:45.642064Z,89.0,272.0,22.37
2025-05-23T13:22:47.655882Z,84.0,315.0,25.1
2025-05-23T13:22:49.594417Z,60.0,109.0,24.24
